Name,Team,Years,Result,Number,Position,Height,Weight
Juan Agosto,Chicago White Sox,1981–1993,Fabricio Agosto,13,Goalkeeper,1.84 m (6 ft 0 in),67 kg
Luis Aguayo,Philadelphia Phillies,1980–1989,Luis Aguayo,,Infielder,,
Jonathan Albaladejo,Washington Nationals,2007–2012,Jonathan Albaladejo,,Relief Pitcher,196cm,118kg
José Alberro,Texas Rangers,1995–1997,Jose Fonte,6,Centre-Back,1.91 m (6 ft 3 in),179 lbs
Luis Alcaraz,Los Angeles Dodgers,1967–1970,Antolin Alcaraz,21,Defender,1.87 m (6 ft 1 1⁄2 in),82 kg (181 lb)
Luis Alicea,St. Louis Cardinals,1988–2002,Filipe Luis,16,Left-Back,1.82 m (6 ft 0 in),77 kg
Sandy Alomar Jr.,San Diego Padres,1988–2007,"Sandy Alomar, Jr.",,Catcher,,
Sandy Alomar Sr.,Milwaukee Braves,1964–1978,"Sandy Alomar, Jr.",,Catcher,,
Roberto Alomar,San Diego Padres,1988–2004,Roberto Alomar,,Home Run,,
Luis Alvarado,Boston Red Sox,1968–1977,Delbert Alvarado,,Kicker,6 ft 0 in (1.83 m),198 lb (90 kg)
Orlando Álvarez,Los Angeles Dodgers,1973–1976,Orlando Engelaar,,Midfielder,1.96 m (6 ft 5 in),90 kg (198 lb)
Robert Andino,Florida Marlins,2005–2013,Robert Andino,,Second Baseman,,
Luis Aquino,Toronto Blue Jays,1986–1995,Aristides Aquino,44,Outfielder,"6' 4""",220
Jake Arrieta,Baltimore Orioles,2010–2022,Jake Arrieta,,Pitcher,"6' 4""",230
Christian Arroyo,San Francisco Giants,2017–present,Christian Arroyo,39,Second Base,"6' 1""",210
Luis Arroyo,St. Louis Cardinals,1955–1963,Luis Rodríguez Arroyo,,Attacker,,
Rudy Arroyo,St.Louis Cardinals,1971,Rudy Gestede,,Centre-Forward,"193cm / 6'4""",86kg / 190lbs
Luis Atilano,Washington Nationals,2010,Filipe Luis,16,Left-Back,1.82 m (6 ft 0 in),77 kg
Mike Avilés,Kansas City Royals,2011–2017,Mike Aviles,,Shortstop,,
Ramón Avilés,Boston Red Sox,1977–1981,Ramón Avilés,,Shortstop,,
Benny Ayala,New York Mets,1974–1985,Benny Simonsen,,Driver,,
Carlos Baerga,Cleveland Indians,1990–2005,Carlos Sanchez,7,Midfielder,1.82 m (6 ft 0 in),181 lbs
Javier Báez,Chicago Cubs,2014–present,Javier Baez,28,Shortstop,"6' 0""",190
Kevin Baez,New York Mets,1990–1993,Javier Baez,28,Shortstop,"6' 0""",190
Aaron Bates,Boston Red Sox,2009,Aaron Bates,,First Baseman,,
Carlos Beltrán,Kansas City Royals,1998–2017,Carlos Beltrán Neroni,16,Defensive Midfield,188 cm,79 kg
Juan Beníquez,Boston Red Sox,1971–1987,Juan Mata,64,Attacking Midfield,1.70 m (5 ft 7 in),139 lbs
Yamil Benítez,Montreal Expos,1995–1998,Yamil Benítez,,Outfielder,188 cm,88 kg
Jonathan Bermúdez,Miami Marlins,2024,Jonathan Bermúdez,,,,
Tony Bernazard,Montreal Expos,1979–1991,Tony Hibbert,,Defender,5 ft 8 in (1.73 m),78 kg
